Timestamp,Do you agree on sharing with us some information that we will use later on to contact you?,Full Name,Age,Gender,Whatsapp number,E-Mail,Where do you study?,What's you class & specialty?,How much are you willing to spend for going abroad?,Have you ever heard of AIESEC before?,What type of internship are you interested in?
3/4/2023 20:03:35,Yes,Saul Simon,21,Female,55721159,exampleemail1@gmail.com,Ecole Supérieure de Commerce de Tunis - Université de La Manouba,2 license en gestion (finance),2000DT - 3000DT,Yes,Global Teacher
3/7/2023 10:13:54,Yes,Brooklynn Crawford,20,Female,62047445,exampleemail2@gmail.com,Ecole Supérieure de Commerce de Tunis - Université de La Manouba,Gestion,2000DT - 3000DT,No,Global Volunteer
3/7/2023 10:23:17,Yes,Lizeth Black,20,Male,22247821,exampleemail3@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,2 année gestion,< 2000DT,Yes,Global Volunteer
3/7/2023 11:38:30,Yes,Marco Murphy,20,Female,65280707,exampleemail4@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,1er gestion,2000DT - 3000DT,Yes,Global Volunteer
3/7/2023 11:38:30,Yes,Alvaro Wright,20,Female,91954932,exampleemail5@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,1 ere gestion,2000DT - 3000DT,Yes,Global Volunteer
3/7/2023 11:42:16,Yes,Harper Henderson,21,Female,24104314,exampleemail6@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,Gestion ,< 2000DT,No,Global Talent
3/7/2023 11:47:46,Yes,Eileen Galvan,22,Female,78895800,exampleemail7@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,3eme Comptabilité ,2000DT - 3000DT,Yes,Global Talent
3/7/2023 11:50:53,Yes,Andres Prince,20,Female,49403498,exampleemail8@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,1 ere,< 2000DT,Yes,Global Volunteer
3/7/2023 12:01:14,Yes,Perla Burgess,19,Female,62702113,exampleemail9@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,1ére,2000DT - 3000DT,Yes,Global Volunteer
3/7/2023 12:01:23,Yes,Brennan Sosa,19,Female,29306625,exampleemail10@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,1ére année LSG,2000DT - 3000DT,Yes,Global Volunteer
3/7/2023 12:16:54,Yes,Ivy Morris,23,Female,12928658,exampleemail11@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,Licence ,2000DT - 3000DT,Yes,Global Volunteer
3/7/2023 13:36:23,Yes,Leticia Molina,22,Male,31902170,exampleemail12@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,3eme management,2000DT - 3000DT,Yes,Global Talent
3/7/2023 23:35:20,Yes,Bernard Combs,21,Female,24328923,exampleemail13@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",3ème année licence en géopolitique et relations internationales,< 2000DT,Yes,Global Volunteer
3/7/2023 23:39:09,Yes,Mya Morris,19,Female,38450752,exampleemail14@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",1st year Preparatory Cycle in English,2000DT - 3000DT,Yes,Global Volunteer
3/8/2023 10:56:57,Yes,Macy Griffin,22,Female,28593368,exampleemail15@gmail.com,École supérieure des sciences et technologies du design,Dessign image,< 2000DT,Yes,Global Volunteer
3/8/2023 10:57:58,Yes,Jaycee Mathews,21,Female,54287799,exampleemail16@gmail.com,École supérieure des sciences et technologies du design,2pg,< 2000DT,Yes,Global Volunteer
